"id";"page";"site_title";"original_file_name";"extension";"url";"download_status";"direction";"package";"content_short";"year";"proposed_name";"ocr_status";"notes"
"47";"2";"Додаткове роз'яснення щодо алгоритму ведення електронних медичних записів (далі – ЕМЗ) при наданні послуг Р.01 та Р.02 за пакетом медичних послуг: «Стоматологічна допомога окремій категорії осіб, які захищають/захищали незалежність, суверенітет та територіальну цілісність України (група послуг №2)».";"hbP6vc6m6WHwyWbeSJCLjo1h2C1h1odrNfDKZhj3.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/hbP6vc6m6WHwyWbeSJCLjo1h2C1h1odrNfDKZhj3.pdf";"не завантажено";"";"";"";"";"";"";""
"48";"2";"Роз'яснення щодо принципу оплати послуг за пакетами медичних послуг: «Зубопротезування окремих категорій осіб, які захищають/захищали незалежність, суверенітет та територіальну цілісність України (група послуг №1)» (далі – група послуг №1) та «Стоматологічна допомога окремій категорії осіб, які захищають/захищали незалежність, суверенітет та територіальну цілісність України (група послуг №2)» (далі – група послуг №2) а також щодо правил ведення електронних медичних записів (далі – ЕМЗ) в електронній системі охорони здоров'я (далі – ЕСОЗ)";"UaWZZnOTmr8uaETok7Ma467bhTn95sOTAGRxqa1t.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/UaWZZnOTmr8uaETok7Ma467bhTn95sOTAGRxqa1t.pdf";"не завантажено";"";"";"";"";"";"";""
"49";"2";"Роз'яснення щодо порядку внесення в ЕСОЗ інформації про надання медичних послуг оплачених за рахунок коштів інших джерел — Додаток 4 Інструкція подання звіту проь коригування ЕМЗ";"d4SgrEMWtFJnPVMs6tXGAezvSiGQ72rKuLJebosZ.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/d4SgrEMWtFJnPVMs6tXGAezvSiGQ72rKuLJebosZ.pdf";"не завантажено";"";"";"";"";"";"";""
"50";"2";"Роз'яснення щодо порядку внесення в ЕСОЗ інформації про надання медичних послуг оплачених за рахунок коштів інших джерел — Додаток 3 Інструкція верифікація ЕМЗ";"0Y6cZ9mWznFRSnKQ6oHP4ltDY3AoZS5GStr9524d.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/0Y6cZ9mWznFRSnKQ6oHP4ltDY3AoZS5GStr9524d.pdf";"не завантажено";"";"";"";"";"";"";""
"51";"2";"Роз'яснення щодо порядку внесення в ЕСОЗ інформації про надання медичних послуг оплачених за рахунок коштів інших джерел — Додаток 2 Інструкція виключення ЕМЗ";"OR9AY8FbRkcckxNJ1GzWRnBEa2rsb2sQNAuzHBxc.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/OR9AY8FbRkcckxNJ1GzWRnBEa2rsb2sQNAuzHBxc.pdf";"не завантажено";"";"";"";"";"";"";""
"52";"2";"Роз'яснення щодо порядку внесення в ЕСОЗ інформації про надання медичних послуг оплачених за рахунок коштів інших джерел";"4EZNhIx5648XkB6W5nQceRLq6MFKF5MCXPD4jcv1.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/4EZNhIx5648XkB6W5nQceRLq6MFKF5MCXPD4jcv1.pdf";"не завантажено";"";"";"";"";"";"";""
"53";"2";"Роз'яснення щодо застосування додаткових коригуючих коефіцієнтів та правил обліку деяких інтервенцій в електронній системі охорони здоров'я (далі - ЕСОЗ) за пакетом «Хірургічні операції дорослим та дітям у стаціонарних умовах»";"xDx6pCplvws6hmGTvSKEjRImMOpmMw4h3KBiCbYy.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/xDx6pCplvws6hmGTvSKEjRImMOpmMw4h3KBiCbYy.pdf";"не завантажено";"";"";"";"";"";"";""
"54";"2";"Роз'яснення щодо застосування додаткових коригуючих коефіцієнтів та правил обліку деяких інтервенцій в електронній системі охорони здоров'я (далі - ЕСОЗ) за пакетом «Стаціонарна допомога дорослим та дітям без проведення хірургічних операцій» — Терапія Додаток 2";"AT6Mt1VcyY2mecPnKhGZh8R0eipCPEBlpKIikUY0.docx";"docx";"https://backend.nszu.gov.ua/storage/application/25/09/10/AT6Mt1VcyY2mecPnKhGZh8R0eipCPEBlpKIikUY0.docx";"не завантажено";"";"";"";"";"";"";""
"55";"2";"Роз’яснення щодо правил скеровування жінок на послуги з лікування безпліддя за допомогою допоміжних репродуктивних технологій (далі – ДРТ) за пакетом медичних послуг «Лікування безпліддя за допомогою допоміжних репродуктивних технологій (запліднення іn vitro)»";"OtFg1J8terablPSslSgI3JAI4Rg1usD8Lm2MH1oN.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/OtFg1J8terablPSslSgI3JAI4Rg1usD8Lm2MH1oN.pdf";"не завантажено";"";"";"";"";"";"";""
"56";"2";"Роз'яснення щодо правил ведення електронних медичних записів (далі - ЕМЗ) в електронній системі охорони здоров'я (далі - ЕСОЗ) потенційному мертвому донору/мертвому донору";"9ip5UgkeKBsc1qn0aq17H3nrjJeocEImSTS6MI5n.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/25/09/10/9ip5UgkeKBsc1qn0aq17H3nrjJeocEImSTS6MI5n.pdf";"не завантажено";"";"";"";"";"";"";""
"57";"2";"Додатки 1-8";"3DBWEKuSxFwnGifTs84F1TToZvp3ZzK7taqZLoHg.docx";"docx";"https://backend.nszu.gov.ua/storage/application/25/09/10/3DBWEKuSxFwnGifTs84F1TToZvp3ZzK7taqZLoHg.docx";"не завантажено";"";"";"";"";"";"";""
"58";"2";"Додатки 1-3";"TPMn5DiByKfSta5rIa1nUrdjth0Zkrm5bgtCG4We.docx";"docx";"https://backend.nszu.gov.ua/storage/application/25/09/10/TPMn5DiByKfSta5rIa1nUrdjth0Zkrm5bgtCG4We.docx";"не завантажено";"";"";"";"";"";"";""
"59";"2";"Роз'яснення щодо застосування додаткових коригуючих коефіцієнтів та правил обліку деяких інтервенцій в електронній системі охорони здоров'я (далі - ЕСОЗ) за пакетом «Стаціонарна допомога дорослим та дітям без проведення хірургічних операцій» — Терапія Додаток 4";"9t8ECdCUZPsSHmarps4vRanWMcfeS7s0gxQhxY9s.docx";"docx";"https://backend.nszu.gov.ua/storage/application/25/09/10/9t8ECdCUZPsSHmarps4vRanWMcfeS7s0gxQhxY9s.docx";"не завантажено";"";"";"";"";"";"";""
